Provincias;País de residencia;Meses;Total
07 Balears, Illes;Total;Enero;20.375
07 Balears, Illes;Total;Febrero;31.495
07 Balears, Illes;Total;Marzo;10.384
07 Balears, Illes;Total;Abril;0
07 Balears, Illes;Total;Mayo;..
07 Balears, Illes;Total;Junio;25.926
07 Balears, Illes;Total;Julio;383.634
07 Balears, Illes;Total;Agosto;550.377
07 Balears, Illes;Total;Septiembre;218.374
07 Balears, Illes;Total;Octubre;43.631
07 Balears, Illes;Total;Noviembre;7.376
07 Balears, Illes;Total;Diciembre;13.342
07 Balears, Illes;Españoles;Enero;5.721
07 Balears, Illes;Españoles;Febrero;5.182
07 Balears, Illes;Españoles;Marzo;1.244
07 Balears, Illes;Españoles;Abril;0
07 Balears, Illes;Españoles;Mayo;..
07 Balears, Illes;Españoles;Junio;19.797
07 Balears, Illes;Españoles;Julio;133.128
07 Balears, Illes;Españoles;Agosto;297.925
07 Balears, Illes;Españoles;Septiembre;140.933
07 Balears, Illes;Españoles;Octubre;23.299
07 Balears, Illes;Españoles;Noviembre;2.482
07 Balears, Illes;Españoles;Diciembre;7.992
07 Balears, Illes;Extranjeros;Enero;14.654
07 Balears, Illes;Extranjeros;Febrero;26.313
07 Balears, Illes;Extranjeros;Marzo;9.140
07 Balears, Illes;Extranjeros;Abril;0
07 Balears, Illes;Extranjeros;Mayo;..
07 Balears, Illes;Extranjeros;Junio;6.129
07 Balears, Illes;Extranjeros;Julio;250.506
07 Balears, Illes;Extranjeros;Agosto;252.453
07 Balears, Illes;Extranjeros;Septiembre;77.441
07 Balears, Illes;Extranjeros;Octubre;20.332
07 Balears, Illes;Extranjeros;Noviembre;4.894
07 Balears, Illes;Extranjeros;Diciembre;5.350
07 Balears, Illes;Unión Europea27 (sin España);Enero;10.208
07 Balears, Illes;Unión Europea27 (sin España);Febrero;17.560
07 Balears, Illes;Unión Europea27 (sin España);Marzo;5.155
07 Balears, Illes;Unión Europea27 (sin España);Abril;0
07 Balears, Illes;Unión Europea27 (sin España);Mayo;..
07 Balears, Illes;Unión Europea27 (sin España);Junio;..
07 Balears, Illes;Unión Europea27 (sin España);Julio;154.632
07 Balears, Illes;Unión Europea27 (sin España);Agosto;182.379
07 Balears, Illes;Unión Europea27 (sin España);Septiembre;47.672
07 Balears, Illes;Unión Europea27 (sin España);Octubre;13.845
07 Balears, Illes;Unión Europea27 (sin España);Noviembre;3.234
07 Balears, Illes;Unión Europea27 (sin España);Diciembre;3.179
07 Balears, Illes;Alemania;Enero;6.648
07 Balears, Illes;Alemania;Febrero;12.918
07 Balears, Illes;Alemania;Marzo;2.333
07 Balears, Illes;Alemania;Abril;0
07 Balears, Illes;Alemania;Mayo;..
07 Balears, Illes;Alemania;Junio;..
07 Balears, Illes;Alemania;Julio;45.602
07 Balears, Illes;Alemania;Agosto;36.976
07 Balears, Illes;Alemania;Septiembre;9.092
07 Balears, Illes;Alemania;Octubre;3.672
07 Balears, Illes;Alemania;Noviembre;2.006
07 Balears, Illes;Alemania;Diciembre;1.880
07 Balears, Illes;Austria;Enero;462
07 Balears, Illes;Austria;Febrero;355
07 Balears, Illes;Austria;Marzo;..
07 Balears, Illes;Austria;Abril;0
07 Balears, Illes;Austria;Mayo;..
07 Balears, Illes;Austria;Junio;..
07 Balears, Illes;Austria;Julio;1.861
07 Balears, Illes;Austria;Agosto;598
07 Balears, Illes;Austria;Septiembre;345
07 Balears, Illes;Austria;Octubre;..
07 Balears, Illes;Austria;Noviembre;..
07 Balears, Illes;Austria;Diciembre;..
07 Balears, Illes;Bélgica;Enero;43
07 Balears, Illes;Bélgica;Febrero;134
07 Balears, Illes;Bélgica;Marzo;..
07 Balears, Illes;Bélgica;Abril;0
07 Balears, Illes;Bélgica;Mayo;..
07 Balears, Illes;Bélgica;Junio;..
07 Balears, Illes;Bélgica;Julio;5.243
07 Balears, Illes;Bélgica;Agosto;3.431
07 Balears, Illes;Bélgica;Septiembre;767
07 Balears, Illes;Bélgica;Octubre;363
07 Balears, Illes;Bélgica;Noviembre;84
07 Balears, Illes;Bélgica;Diciembre;98
07 Balears, Illes;Dinamarca;Enero;100
07 Balears, Illes;Dinamarca;Febrero;223
07 Balears, Illes;Dinamarca;Marzo;203
07 Balears, Illes;Dinamarca;Abril;0
07 Balears, Illes;Dinamarca;Mayo;..
07 Balears, Illes;Dinamarca;Junio;..
07 Balears, Illes;Dinamarca;Julio;3.984
07 Balears, Illes;Dinamarca;Agosto;1.462
07 Balears, Illes;Dinamarca;Septiembre;92
07 Balears, Illes;Dinamarca;Octubre;124
07 Balears, Illes;Dinamarca;Noviembre;..
07 Balears, Illes;Dinamarca;Diciembre;..
07 Balears, Illes;Finlandia;Enero;132
07 Balears, Illes;Finlandia;Febrero;..
07 Balears, Illes;Finlandia;Marzo;122
07 Balears, Illes;Finlandia;Abril;0
07 Balears, Illes;Finlandia;Mayo;..
07 Balears, Illes;Finlandia;Junio;..
07 Balears, Illes;Finlandia;Julio;145
07 Balears, Illes;Finlandia;Agosto;14
07 Balears, Illes;Finlandia;Septiembre;..
07 Balears, Illes;Finlandia;Octubre;..
07 Balears, Illes;Finlandia;Noviembre;..
07 Balears, Illes;Finlandia;Diciembre;..
07 Balears, Illes;Francia;Enero;346
07 Balears, Illes;Francia;Febrero;459
07 Balears, Illes;Francia;Marzo;349
07 Balears, Illes;Francia;Abril;0
07 Balears, Illes;Francia;Mayo;..
07 Balears, Illes;Francia;Junio;..
07 Balears, Illes;Francia;Julio;17.303
07 Balears, Illes;Francia;Agosto;40.774
07 Balears, Illes;Francia;Septiembre;14.930
07 Balears, Illes;Francia;Octubre;5.095
07 Balears, Illes;Francia;Noviembre;252
07 Balears, Illes;Francia;Diciembre;220
07 Balears, Illes;Grecia;Enero;93
07 Balears, Illes;Grecia;Febrero;..
07 Balears, Illes;Grecia;Marzo;..
07 Balears, Illes;Grecia;Abril;0
07 Balears, Illes;Grecia;Mayo;..
07 Balears, Illes;Grecia;Junio;..
07 Balears, Illes;Grecia;Julio;254
07 Balears, Illes;Grecia;Agosto;205
07 Balears, Illes;Grecia;Septiembre;140
07 Balears, Illes;Grecia;Octubre;541
07 Balears, Illes;Grecia;Noviembre;..
07 Balears, Illes;Grecia;Diciembre;..
07 Balears, Illes;Irlanda;Enero;29
07 Balears, Illes;Irlanda;Febrero;..
07 Balears, Illes;Irlanda;Marzo;..
07 Balears, Illes;Irlanda;Abril;0
07 Balears, Illes;Irlanda;Mayo;..
07 Balears, Illes;Irlanda;Junio;..
07 Balears, Illes;Irlanda;Julio;1.767
07 Balears, Illes;Irlanda;Agosto;1.636
07 Balears, Illes;Irlanda;Septiembre;437
07 Balears, Illes;Irlanda;Octubre;136
07 Balears, Illes;Irlanda;Noviembre;..
07 Balears, Illes;Irlanda;Diciembre;..
07 Balears, Illes;Italia;Enero;402
07 Balears, Illes;Italia;Febrero;318
07 Balears, Illes;Italia;Marzo;..
07 Balears, Illes;Italia;Abril;0
07 Balears, Illes;Italia;Mayo;..
07 Balears, Illes;Italia;Junio;..
07 Balears, Illes;Italia;Julio;33.385
07 Balears, Illes;Italia;Agosto;42.310
07 Balears, Illes;Italia;Septiembre;12.452
07 Balears, Illes;Italia;Octubre;648
07 Balears, Illes;Italia;Noviembre;186
07 Balears, Illes;Italia;Diciembre;371
07 Balears, Illes;Luxemburgo;Enero;..
07 Balears, Illes;Luxemburgo;Febrero;..
07 Balears, Illes;Luxemburgo;Marzo;..
07 Balears, Illes;Luxemburgo;Abril;0
07 Balears, Illes;Luxemburgo;Mayo;..
07 Balears, Illes;Luxemburgo;Junio;..
07 Balears, Illes;Luxemburgo;Julio;1.087
07 Balears, Illes;Luxemburgo;Agosto;225
07 Balears, Illes;Luxemburgo;Septiembre;788
07 Balears, Illes;Luxemburgo;Octubre;..
07 Balears, Illes;Luxemburgo;Noviembre;..
07 Balears, Illes;Luxemburgo;Diciembre;..
07 Balears, Illes;Países Bajos;Enero;99
07 Balears, Illes;Países Bajos;Febrero;795
07 Balears, Illes;Países Bajos;Marzo;147
07 Balears, Illes;Países Bajos;Abril;0
07 Balears, Illes;Países Bajos;Mayo;..
07 Balears, Illes;Países Bajos;Junio;..
07 Balears, Illes;Países Bajos;Julio;27.121
07 Balears, Illes;Países Bajos;Agosto;28.765
07 Balears, Illes;Países Bajos;Septiembre;2.671
07 Balears, Illes;Países Bajos;Octubre;428
07 Balears, Illes;Países Bajos;Noviembre;54
07 Balears, Illes;Países Bajos;Diciembre;..
07 Balears, Illes;Polonia;Enero;328
07 Balears, Illes;Polonia;Febrero;269
07 Balears, Illes;Polonia;Marzo;74
07 Balears, Illes;Polonia;Abril;0
07 Balears, Illes;Polonia;Mayo;..
07 Balears, Illes;Polonia;Junio;..
07 Balears, Illes;Polonia;Julio;9.056
07 Balears, Illes;Polonia;Agosto;14.770
07 Balears, Illes;Polonia;Septiembre;823
07 Balears, Illes;Polonia;Octubre;222
07 Balears, Illes;Polonia;Noviembre;..
07 Balears, Illes;Polonia;Diciembre;149
07 Balears, Illes;Portugal;Enero;140
07 Balears, Illes;Portugal;Febrero;101
07 Balears, Illes;Portugal;Marzo;..
07 Balears, Illes;Portugal;Abril;0
07 Balears, Illes;Portugal;Mayo;..
07 Balears, Illes;Portugal;Junio;..
07 Balears, Illes;Portugal;Julio;1.072
07 Balears, Illes;Portugal;Agosto;2.879
07 Balears, Illes;Portugal;Septiembre;1.793
07 Balears, Illes;Portugal;Octubre;343
07 Balears, Illes;Portugal;Noviembre;..
07 Balears, Illes;Portugal;Diciembre;85
07 Balears, Illes;Republica Checa;Enero;365
07 Balears, Illes;Republica Checa;Febrero;246
07 Balears, Illes;Republica Checa;Marzo;252
07 Balears, Illes;Republica Checa;Abril;0
07 Balears, Illes;Republica Checa;Mayo;..
07 Balears, Illes;Republica Checa;Junio;..
07 Balears, Illes;Republica Checa;Julio;1.841
07 Balears, Illes;Republica Checa;Agosto;1.877
07 Balears, Illes;Republica Checa;Septiembre;578
07 Balears, Illes;Republica Checa;Octubre;45
07 Balears, Illes;Republica Checa;Noviembre;48
07 Balears, Illes;Republica Checa;Diciembre;..
07 Balears, Illes;Suecia;Enero;831
07 Balears, Illes;Suecia;Febrero;1.223
07 Balears, Illes;Suecia;Marzo;1.415
07 Balears, Illes;Suecia;Abril;0
07 Balears, Illes;Suecia;Mayo;..
07 Balears, Illes;Suecia;Junio;..
07 Balears, Illes;Suecia;Julio;1.773
07 Balears, Illes;Suecia;Agosto;2.588
07 Balears, Illes;Suecia;Septiembre;999
07 Balears, Illes;Suecia;Octubre;1.438
07 Balears, Illes;Suecia;Noviembre;..
07 Balears, Illes;Suecia;Diciembre;..
07 Balears, Illes;Resto de la UE;Enero;129
07 Balears, Illes;Resto de la UE;Febrero;274
07 Balears, Illes;Resto de la UE;Marzo;..
07 Balears, Illes;Resto de la UE;Abril;0
07 Balears, Illes;Resto de la UE;Mayo;..
07 Balears, Illes;Resto de la UE;Junio;..
07 Balears, Illes;Resto de la UE;Julio;3.140
07 Balears, Illes;Resto de la UE;Agosto;3.869
07 Balears, Illes;Resto de la UE;Septiembre;1.764
07 Balears, Illes;Resto de la UE;Octubre;734
07 Balears, Illes;Resto de la UE;Noviembre;206
07 Balears, Illes;Resto de la UE;Diciembre;85
07 Balears, Illes;Noruega;Enero;461
07 Balears, Illes;Noruega;Febrero;1.832
07 Balears, Illes;Noruega;Marzo;..
07 Balears, Illes;Noruega;Abril;0
07 Balears, Illes;Noruega;Mayo;..
07 Balears, Illes;Noruega;Junio;..
07 Balears, Illes;Noruega;Julio;563
07 Balears, Illes;Noruega;Agosto;172
07 Balears, Illes;Noruega;Septiembre;179
07 Balears, Illes;Noruega;Octubre;164
07 Balears, Illes;Noruega;Noviembre;..
07 Balears, Illes;Noruega;Diciembre;..
07 Balears, Illes;Reino Unido;Enero;2.023
