Provincias;País de residencia;Meses;Total
Balears, Illes;Total;Enero;2.122
Balears, Illes;Total;Febrero;5.134
Balears, Illes;Total;Marzo;19.954
Balears, Illes;Total;Abril;35.847
Balears, Illes;Total;Mayo;192.861
Balears, Illes;Total;Junio;249.571
Balears, Illes;Total;Julio;290.031
Balears, Illes;Total;Agosto;309.605
Balears, Illes;Total;Septiembre;243.364
Balears, Illes;Total;Octubre;112.174
Balears, Illes;Total;Noviembre;4.771
Balears, Illes;Total;Diciembre;5.066
Balears, Illes;Residentes en España;Enero;498
Balears, Illes;Residentes en España;Febrero;1.133
Balears, Illes;Residentes en España;Marzo;5.971
Balears, Illes;Residentes en España;Abril;4.056
Balears, Illes;Residentes en España;Mayo;22.478
Balears, Illes;Residentes en España;Junio;33.853
Balears, Illes;Residentes en España;Julio;37.313
Balears, Illes;Residentes en España;Agosto;39.727
Balears, Illes;Residentes en España;Septiembre;31.929
Balears, Illes;Residentes en España;Octubre;9.095
Balears, Illes;Residentes en España;Noviembre;1.289
Balears, Illes;Residentes en España;Diciembre;1.627
Balears, Illes;No residentes en España;Enero;1.624
Balears, Illes;No residentes en España;Febrero;4.001
Balears, Illes;No residentes en España;Marzo;13.983
Balears, Illes;No residentes en España;Abril;31.791
Balears, Illes;No residentes en España;Mayo;170.383
Balears, Illes;No residentes en España;Junio;215.717
Balears, Illes;No residentes en España;Julio;252.718
Balears, Illes;No residentes en España;Agosto;269.877
Balears, Illes;No residentes en España;Septiembre;211.435
Balears, Illes;No residentes en España;Octubre;103.079
Balears, Illes;No residentes en España;Noviembre;3.482
Balears, Illes;No residentes en España;Diciembre;3.439
Balears, Illes;Unión Europea (sin España);Enero;1.341
Balears, Illes;Unión Europea (sin España);Febrero;3.657
Balears, Illes;Unión Europea (sin España);Marzo;12.730
Balears, Illes;Unión Europea (sin España);Abril;29.751
Balears, Illes;Unión Europea (sin España);Mayo;161.938
Balears, Illes;Unión Europea (sin España);Junio;202.359
Balears, Illes;Unión Europea (sin España);Julio;232.788
Balears, Illes;Unión Europea (sin España);Agosto;253.247
Balears, Illes;Unión Europea (sin España);Septiembre;198.792
Balears, Illes;Unión Europea (sin España);Octubre;98.610
Balears, Illes;Unión Europea (sin España);Noviembre;3.084
Balears, Illes;Unión Europea (sin España);Diciembre;3.013
Balears, Illes;Alemania;Enero;834
Balears, Illes;Alemania;Febrero;2.813
Balears, Illes;Alemania;Marzo;5.692
Balears, Illes;Alemania;Abril;11.226
Balears, Illes;Alemania;Mayo;38.670
Balears, Illes;Alemania;Junio;40.473
Balears, Illes;Alemania;Julio;45.731
Balears, Illes;Alemania;Agosto;46.333
Balears, Illes;Alemania;Septiembre;37.776
Balears, Illes;Alemania;Octubre;32.964
Balears, Illes;Alemania;Noviembre;1.532
Balears, Illes;Alemania;Diciembre;1.797
Balears, Illes;Austria;Enero;117
Balears, Illes;Austria;Febrero;48
Balears, Illes;Austria;Marzo;127
Balears, Illes;Austria;Abril;200
Balears, Illes;Austria;Mayo;494
Balears, Illes;Austria;Junio;770
Balears, Illes;Austria;Julio;997
Balears, Illes;Austria;Agosto;1.310
Balears, Illes;Austria;Septiembre;3.729
Balears, Illes;Austria;Octubre;345
Balears, Illes;Austria;Noviembre;88
Balears, Illes;Austria;Diciembre;61
Balears, Illes;Bélgica;Enero;..
Balears, Illes;Bélgica;Febrero;..
Balears, Illes;Bélgica;Marzo;153
Balears, Illes;Bélgica;Abril;102
Balears, Illes;Bélgica;Mayo;1.592
Balears, Illes;Bélgica;Junio;1.340
Balears, Illes;Bélgica;Julio;2.065
Balears, Illes;Bélgica;Agosto;2.137
Balears, Illes;Bélgica;Septiembre;2.025
Balears, Illes;Bélgica;Octubre;610
Balears, Illes;Bélgica;Noviembre;32
Balears, Illes;Bélgica;Diciembre;15
