Provincias;País de residencia;Meses;Total
07 Balears, Illes;Total;Enero;21.783
07 Balears, Illes;Total;Febrero;36.665
07 Balears, Illes;Total;Marzo;70.865
07 Balears, Illes;Total;Abril;284.913
07 Balears, Illes;Total;Mayo;1.143.094
07 Balears, Illes;Total;Junio;1.573.879
07 Balears, Illes;Total;Julio;1.935.948
07 Balears, Illes;Total;Agosto;2.026.218
07 Balears, Illes;Total;Septiembre;1.547.012
07 Balears, Illes;Total;Octubre;834.108
07 Balears, Illes;Total;Noviembre;37.879
07 Balears, Illes;Total;Diciembre;34.308
07 Balears, Illes;Residentes en España;Enero;4.346
07 Balears, Illes;Residentes en España;Febrero;5.274
07 Balears, Illes;Residentes en España;Marzo;11.650
07 Balears, Illes;Residentes en España;Abril;17.719
07 Balears, Illes;Residentes en España;Mayo;94.323
07 Balears, Illes;Residentes en España;Junio;181.150
07 Balears, Illes;Residentes en España;Julio;226.657
07 Balears, Illes;Residentes en España;Agosto;235.826
07 Balears, Illes;Residentes en España;Septiembre;162.134
07 Balears, Illes;Residentes en España;Octubre;57.891
07 Balears, Illes;Residentes en España;Noviembre;6.050
07 Balears, Illes;Residentes en España;Diciembre;6.709
07 Balears, Illes;No residentes en España;Enero;17.437
07 Balears, Illes;No residentes en España;Febrero;31.391
07 Balears, Illes;No residentes en España;Marzo;59.215
07 Balears, Illes;No residentes en España;Abril;267.194
07 Balears, Illes;No residentes en España;Mayo;1.048.772
07 Balears, Illes;No residentes en España;Junio;1.392.729
07 Balears, Illes;No residentes en España;Julio;1.709.291
07 Balears, Illes;No residentes en España;Agosto;1.790.392
07 Balears, Illes;No residentes en España;Septiembre;1.384.878
07 Balears, Illes;No residentes en España;Octubre;776.216
07 Balears, Illes;No residentes en España;Noviembre;31.830
07 Balears, Illes;No residentes en España;Diciembre;27.599
07 Balears, Illes;Unión Europea (sin España);Enero;13.298
07 Balears, Illes;Unión Europea (sin España);Febrero;26.363
07 Balears, Illes;Unión Europea (sin España);Marzo;51.002
07 Balears, Illes;Unión Europea (sin España);Abril;250.872
07 Balears, Illes;Unión Europea (sin España);Mayo;992.567
07 Balears, Illes;Unión Europea (sin España);Junio;1.304.769
07 Balears, Illes;Unión Europea (sin España);Julio;1.564.547
07 Balears, Illes;Unión Europea (sin España);Agosto;1.682.941
07 Balears, Illes;Unión Europea (sin España);Septiembre;1.301.478
07 Balears, Illes;Unión Europea (sin España);Octubre;726.741
07 Balears, Illes;Unión Europea (sin España);Noviembre;27.706
07 Balears, Illes;Unión Europea (sin España);Diciembre;21.591
07 Balears, Illes;Alemania;Enero;7.751
07 Balears, Illes;Alemania;Febrero;17.106
07 Balears, Illes;Alemania;Marzo;26.952
07 Balears, Illes;Alemania;Abril;78.892
07 Balears, Illes;Alemania;Mayo;212.880
07 Balears, Illes;Alemania;Junio;233.024
07 Balears, Illes;Alemania;Julio;298.321
07 Balears, Illes;Alemania;Agosto;269.100
07 Balears, Illes;Alemania;Septiembre;254.804
07 Balears, Illes;Alemania;Octubre;193.808
07 Balears, Illes;Alemania;Noviembre;15.560
07 Balears, Illes;Alemania;Diciembre;10.427
07 Balears, Illes;Austria;Enero;402
07 Balears, Illes;Austria;Febrero;398
07 Balears, Illes;Austria;Marzo;1.005
07 Balears, Illes;Austria;Abril;1.173
07 Balears, Illes;Austria;Mayo;4.704
07 Balears, Illes;Austria;Junio;7.286
07 Balears, Illes;Austria;Julio;9.260
07 Balears, Illes;Austria;Agosto;10.495
07 Balears, Illes;Austria;Septiembre;10.978
07 Balears, Illes;Austria;Octubre;2.371
07 Balears, Illes;Austria;Noviembre;462
07 Balears, Illes;Austria;Diciembre;448
07 Balears, Illes;Bélgica;Enero;44
07 Balears, Illes;Bélgica;Febrero;92
07 Balears, Illes;Bélgica;Marzo;203
07 Balears, Illes;Bélgica;Abril;2.266
07 Balears, Illes;Bélgica;Mayo;6.079
07 Balears, Illes;Bélgica;Junio;9.567
07 Balears, Illes;Bélgica;Julio;15.267
07 Balears, Illes;Bélgica;Agosto;11.065
07 Balears, Illes;Bélgica;Septiembre;8.765
07 Balears, Illes;Bélgica;Octubre;2.937
07 Balears, Illes;Bélgica;Noviembre;104
07 Balears, Illes;Bélgica;Diciembre;234
07 Balears, Illes;Dinamarca;Enero;108
07 Balears, Illes;Dinamarca;Febrero;154
07 Balears, Illes;Dinamarca;Marzo;1.014
07 Balears, Illes;Dinamarca;Abril;7.838
07 Balears, Illes;Dinamarca;Mayo;27.220
07 Balears, Illes;Dinamarca;Junio;30.209
07 Balears, Illes;Dinamarca;Julio;62.563
07 Balears, Illes;Dinamarca;Agosto;35.414
07 Balears, Illes;Dinamarca;Septiembre;29.121
07 Balears, Illes;Dinamarca;Octubre;15.956
07 Balears, Illes;Dinamarca;Noviembre;349
07 Balears, Illes;Dinamarca;Diciembre;276
07 Balears, Illes;Finlandia;Enero;785
07 Balears, Illes;Finlandia;Febrero;856
07 Balears, Illes;Finlandia;Marzo;1.431
07 Balears, Illes;Finlandia;Abril;3.054
07 Balears, Illes;Finlandia;Mayo;6.121
07 Balears, Illes;Finlandia;Junio;9.959
07 Balears, Illes;Finlandia;Julio;10.125
07 Balears, Illes;Finlandia;Agosto;6.129
07 Balears, Illes;Finlandia;Septiembre;8.473
07 Balears, Illes;Finlandia;Octubre;5.260
07 Balears, Illes;Finlandia;Noviembre;618
07 Balears, Illes;Finlandia;Diciembre;397
07 Balears, Illes;Francia;Enero;416
07 Balears, Illes;Francia;Febrero;628
07 Balears, Illes;Francia;Marzo;1.376
07 Balears, Illes;Francia;Abril;6.864
07 Balears, Illes;Francia;Mayo;43.754
07 Balears, Illes;Francia;Junio;57.098
07 Balears, Illes;Francia;Julio;85.035
07 Balears, Illes;Francia;Agosto;101.554
07 Balears, Illes;Francia;Septiembre;58.860
07 Balears, Illes;Francia;Octubre;19.731
07 Balears, Illes;Francia;Noviembre;566
07 Balears, Illes;Francia;Diciembre;560
07 Balears, Illes;Grecia;Enero;..
07 Balears, Illes;Grecia;Febrero;48
07 Balears, Illes;Grecia;Marzo;32
07 Balears, Illes;Grecia;Abril;..
07 Balears, Illes;Grecia;Mayo;466
07 Balears, Illes;Grecia;Junio;695
07 Balears, Illes;Grecia;Julio;1.548
07 Balears, Illes;Grecia;Agosto;1.453
07 Balears, Illes;Grecia;Septiembre;1.140
07 Balears, Illes;Grecia;Octubre;1.321
07 Balears, Illes;Grecia;Noviembre;46
07 Balears, Illes;Grecia;Diciembre;..
07 Balears, Illes;Irlanda;Enero;..
07 Balears, Illes;Irlanda;Febrero;294
07 Balears, Illes;Irlanda;Marzo;341
07 Balears, Illes;Irlanda;Abril;11.139
07 Balears, Illes;Irlanda;Mayo;37.405
07 Balears, Illes;Irlanda;Junio;55.309
07 Balears, Illes;Irlanda;Julio;58.198
07 Balears, Illes;Irlanda;Agosto;46.387
07 Balears, Illes;Irlanda;Septiembre;43.986
07 Balears, Illes;Irlanda;Octubre;22.908
07 Balears, Illes;Irlanda;Noviembre;48
07 Balears, Illes;Irlanda;Diciembre;..
07 Balears, Illes;Italia;Enero;96
07 Balears, Illes;Italia;Febrero;390
07 Balears, Illes;Italia;Marzo;1.381
07 Balears, Illes;Italia;Abril;5.261
07 Balears, Illes;Italia;Mayo;33.920
07 Balears, Illes;Italia;Junio;78.914
07 Balears, Illes;Italia;Julio;133.123
07 Balears, Illes;Italia;Agosto;215.399
07 Balears, Illes;Italia;Septiembre;104.140
07 Balears, Illes;Italia;Octubre;20.025
07 Balears, Illes;Italia;Noviembre;446
07 Balears, Illes;Italia;Diciembre;483
07 Balears, Illes;Luxemburgo;Enero;..
07 Balears, Illes;Luxemburgo;Febrero;224
07 Balears, Illes;Luxemburgo;Marzo;177
07 Balears, Illes;Luxemburgo;Abril;..
07 Balears, Illes;Luxemburgo;Mayo;2.085
07 Balears, Illes;Luxemburgo;Junio;1.165
07 Balears, Illes;Luxemburgo;Julio;1.554
07 Balears, Illes;Luxemburgo;Agosto;1.631
07 Balears, Illes;Luxemburgo;Septiembre;859
07 Balears, Illes;Luxemburgo;Octubre;170
07 Balears, Illes;Luxemburgo;Noviembre;98
07 Balears, Illes;Luxemburgo;Diciembre;..
07 Balears, Illes;Países Bajos;Enero;258
07 Balears, Illes;Países Bajos;Febrero;356
07 Balears, Illes;Países Bajos;Marzo;1.444
07 Balears, Illes;Países Bajos;Abril;8.063
07 Balears, Illes;Países Bajos;Mayo;96.240
07 Balears, Illes;Países Bajos;Junio;102.096
07 Balears, Illes;Países Bajos;Julio;113.454
07 Balears, Illes;Países Bajos;Agosto;111.327
07 Balears, Illes;Países Bajos;Septiembre;83.493
07 Balears, Illes;Países Bajos;Octubre;58.965
07 Balears, Illes;Países Bajos;Noviembre;204
07 Balears, Illes;Países Bajos;Diciembre;407
07 Balears, Illes;Polonia;Enero;307
07 Balears, Illes;Polonia;Febrero;270
07 Balears, Illes;Polonia;Marzo;746
07 Balears, Illes;Polonia;Abril;6.605
07 Balears, Illes;Polonia;Mayo;11.473
07 Balears, Illes;Polonia;Junio;17.138
07 Balears, Illes;Polonia;Julio;22.179
07 Balears, Illes;Polonia;Agosto;20.257
07 Balears, Illes;Polonia;Septiembre;30.782
07 Balears, Illes;Polonia;Octubre;15.831
07 Balears, Illes;Polonia;Noviembre;658
07 Balears, Illes;Polonia;Diciembre;423
07 Balears, Illes;Portugal;Enero;40
07 Balears, Illes;Portugal;Febrero;84
07 Balears, Illes;Portugal;Marzo;158
07 Balears, Illes;Portugal;Abril;1.185
07 Balears, Illes;Portugal;Mayo;2.145
07 Balears, Illes;Portugal;Junio;4.491
07 Balears, Illes;Portugal;Julio;7.312
07 Balears, Illes;Portugal;Agosto;13.172
07 Balears, Illes;Portugal;Septiembre;7.879
07 Balears, Illes;Portugal;Octubre;1.361
07 Balears, Illes;Portugal;Noviembre;64
07 Balears, Illes;Portugal;Diciembre;134
07 Balears, Illes;Reino Unido;Enero;1.438
07 Balears, Illes;Reino Unido;Febrero;3.137
07 Balears, Illes;Reino Unido;Marzo;9.707
07 Balears, Illes;Reino Unido;Abril;101.202
07 Balears, Illes;Reino Unido;Mayo;426.951
07 Balears, Illes;Reino Unido;Junio;581.880
07 Balears, Illes;Reino Unido;Julio;623.371
07 Balears, Illes;Reino Unido;Agosto;727.042
07 Balears, Illes;Reino Unido;Septiembre;550.735
07 Balears, Illes;Reino Unido;Octubre;324.224
07 Balears, Illes;Reino Unido;Noviembre;5.744
07 Balears, Illes;Reino Unido;Diciembre;5.872
07 Balears, Illes;Republica Checa;Enero;57
07 Balears, Illes;Republica Checa;Febrero;56
07 Balears, Illes;Republica Checa;Marzo;1.180
07 Balears, Illes;Republica Checa;Abril;542
07 Balears, Illes;Republica Checa;Mayo;1.297
07 Balears, Illes;Republica Checa;Junio;6.049
07 Balears, Illes;Republica Checa;Julio;10.355
07 Balears, Illes;Republica Checa;Agosto;5.970
07 Balears, Illes;Republica Checa;Septiembre;6.563
07 Balears, Illes;Republica Checa;Octubre;2.025
07 Balears, Illes;Republica Checa;Noviembre;68
07 Balears, Illes;Republica Checa;Diciembre;282
07 Balears, Illes;Suecia;Enero;1.483
07 Balears, Illes;Suecia;Febrero;2.078
07 Balears, Illes;Suecia;Marzo;3.625
07 Balears, Illes;Suecia;Abril;12.400
07 Balears, Illes;Suecia;Mayo;67.583
07 Balears, Illes;Suecia;Junio;94.243
07 Balears, Illes;Suecia;Julio;90.638
07 Balears, Illes;Suecia;Agosto;87.547
07 Balears, Illes;Suecia;Septiembre;80.732
07 Balears, Illes;Suecia;Octubre;27.538
07 Balears, Illes;Suecia;Noviembre;1.930
07 Balears, Illes;Suecia;Diciembre;956
07 Balears, Illes;Resto de la UE;Enero;..
07 Balears, Illes;Resto de la UE;Febrero;192
07 Balears, Illes;Resto de la UE;Marzo;228
07 Balears, Illes;Resto de la UE;Abril;4.194
07 Balears, Illes;Resto de la UE;Mayo;12.243
07 Balears, Illes;Resto de la UE;Junio;15.650
07 Balears, Illes;Resto de la UE;Julio;22.244
07 Balears, Illes;Resto de la UE;Agosto;18.998
07 Balears, Illes;Resto de la UE;Septiembre;20.167
07 Balears, Illes;Resto de la UE;Octubre;12.311
07 Balears, Illes;Resto de la UE;Noviembre;739
07 Balears, Illes;Resto de la UE;Diciembre;406
07 Balears, Illes;Noruega;Enero;1.607
07 Balears, Illes;Noruega;Febrero;1.802
07 Balears, Illes;Noruega;Marzo;2.798
07 Balears, Illes;Noruega;Abril;3.232
07 Balears, Illes;Noruega;Mayo;21.846
07 Balears, Illes;Noruega;Junio;31.272
07 Balears, Illes;Noruega;Julio;60.136
07 Balears, Illes;Noruega;Agosto;30.830
07 Balears, Illes;Noruega;Septiembre;24.107
07 Balears, Illes;Noruega;Octubre;14.967
