Provincias;País de residencia;Meses;Total
07 Balears, Illes;Total;Enero;801
07 Balears, Illes;Total;Febrero;1.132
07 Balears, Illes;Total;Marzo;2.701
07 Balears, Illes;Total;Abril;2.786
07 Balears, Illes;Total;Mayo;24.295
07 Balears, Illes;Total;Junio;72.776
07 Balears, Illes;Total;Julio;173.458
07 Balears, Illes;Total;Agosto;194.629
07 Balears, Illes;Total;Septiembre;148.154
07 Balears, Illes;Total;Octubre;88.773
07 Balears, Illes;Total;Noviembre;4.444
07 Balears, Illes;Total;Diciembre;5.308
07 Balears, Illes;Españoles;Enero;541
07 Balears, Illes;Españoles;Febrero;858
07 Balears, Illes;Españoles;Marzo;1.430
07 Balears, Illes;Españoles;Abril;735
07 Balears, Illes;Españoles;Mayo;8.873
07 Balears, Illes;Españoles;Junio;35.407
07 Balears, Illes;Españoles;Julio;69.277
07 Balears, Illes;Españoles;Agosto;83.496
07 Balears, Illes;Españoles;Septiembre;50.256
07 Balears, Illes;Españoles;Octubre;26.291
07 Balears, Illes;Españoles;Noviembre;1.255
07 Balears, Illes;Españoles;Diciembre;2.494
07 Balears, Illes;Extranjeros;Enero;260
07 Balears, Illes;Extranjeros;Febrero;274
07 Balears, Illes;Extranjeros;Marzo;1.271
07 Balears, Illes;Extranjeros;Abril;2.052
07 Balears, Illes;Extranjeros;Mayo;15.422
07 Balears, Illes;Extranjeros;Junio;37.369
07 Balears, Illes;Extranjeros;Julio;104.181
07 Balears, Illes;Extranjeros;Agosto;111.133
07 Balears, Illes;Extranjeros;Septiembre;97.897
07 Balears, Illes;Extranjeros;Octubre;62.482
07 Balears, Illes;Extranjeros;Noviembre;3.189
07 Balears, Illes;Extranjeros;Diciembre;2.814
07 Balears, Illes;Unión Europea27 (sin España);Enero;208
07 Balears, Illes;Unión Europea27 (sin España);Febrero;168
07 Balears, Illes;Unión Europea27 (sin España);Marzo;1.026
07 Balears, Illes;Unión Europea27 (sin España);Abril;1.656
07 Balears, Illes;Unión Europea27 (sin España);Mayo;11.743
07 Balears, Illes;Unión Europea27 (sin España);Junio;29.968
07 Balears, Illes;Unión Europea27 (sin España);Julio;70.158
07 Balears, Illes;Unión Europea27 (sin España);Agosto;73.988
07 Balears, Illes;Unión Europea27 (sin España);Septiembre;65.060
07 Balears, Illes;Unión Europea27 (sin España);Octubre;43.036
07 Balears, Illes;Unión Europea27 (sin España);Noviembre;2.218
07 Balears, Illes;Unión Europea27 (sin España);Diciembre;1.582
07 Balears, Illes;Alemania;Enero;93
07 Balears, Illes;Alemania;Febrero;68
07 Balears, Illes;Alemania;Marzo;722
07 Balears, Illes;Alemania;Abril;1.155
07 Balears, Illes;Alemania;Mayo;4.458
07 Balears, Illes;Alemania;Junio;7.560
07 Balears, Illes;Alemania;Julio;17.032
07 Balears, Illes;Alemania;Agosto;11.350
07 Balears, Illes;Alemania;Septiembre;16.921
07 Balears, Illes;Alemania;Octubre;14.135
07 Balears, Illes;Alemania;Noviembre;1.382
07 Balears, Illes;Alemania;Diciembre;911
07 Balears, Illes;Austria;Enero;..
07 Balears, Illes;Austria;Febrero;..
07 Balears, Illes;Austria;Marzo;28
07 Balears, Illes;Austria;Abril;..
07 Balears, Illes;Austria;Mayo;113
