año,mes,provincia,pais_residencia,pernoctaciones,total_viajeros,media_pernoctaciones,fecha
2015,Enero,Islas Baleares,Total,25933.0,3705.0,7.0,2015-01-01
2015,Febrero,Islas Baleares,Total,30280.0,4382.0,6.91,2015-02-01
2015,Marzo,Islas Baleares,Total,46156.0,6536.0,7.06,2015-03-01
2015,Abril,Islas Baleares,Total,226542.0,36181.0,6.26,2015-04-01
2015,Mayo,Islas Baleares,Total,888610.0,145473.0,6.11,2015-05-01
2015,Junio,Islas Baleares,Total,1611374.0,232301.0,6.94,2015-06-01
2015,Julio,Islas Baleares,Total,2147652.0,286441.0,7.5,2015-07-01
2015,Agosto,Islas Baleares,Total,2187065.0,281185.0,7.78,2015-08-01
2015,Septiembre,Islas Baleares,Total,1609907.0,214795.0,7.5,2015-09-01
2015,Octubre,Islas Baleares,Total,738757.0,91615.0,8.06,2015-10-01
2015,Noviembre,Islas Baleares,Total,34633.0,5403.0,6.41,2015-11-01
2015,Diciembre,Islas Baleares,Total,31082.0,4831.0,6.43,2015-12-01
2015,Enero,Islas Baleares,España,5125.0,1323.0,3.87,2015-01-01
2015,Febrero,Islas Baleares,España,7520.0,1938.0,3.88,2015-02-01
2015,Marzo,Islas Baleares,España,6915.0,1820.0,3.8,2015-03-01
2015,Abril,Islas Baleares,España,26217.0,6157.0,4.26,2015-04-01
2015,Mayo,Islas Baleares,España,65038.0,15287.0,4.25,2015-05-01
2015,Junio,Islas Baleares,España,172178.0,33968.0,5.07,2015-06-01
2015,Julio,Islas Baleares,España,215590.0,36224.0,5.95,2015-07-01
2015,Agosto,Islas Baleares,España,238107.0,35559.0,6.7,2015-08-01
2015,Septiembre,Islas Baleares,España,178818.0,28215.0,6.34,2015-09-01
2015,Octubre,Islas Baleares,España,46366.0,9280.0,5.0,2015-10-01
2015,Noviembre,Islas Baleares,España,4902.0,1628.0,3.01,2015-11-01
2015,Diciembre,Islas Baleares,España,3474.0,1058.0,3.28,2015-12-01
2015,Enero,Islas Baleares,Extranjeros,2382.0,2382.0,1.0,2015-01-01
2015,Febrero,Islas Baleares,Extranjeros,2444.0,2444.0,1.0,2015-02-01
