año,mes,tipo_acomodacion,provincia,pais_residencia,total_pernoctaciones,total_viajeros
2015,Enero,apartamentos,"Balears, Illes",,7.0,
2015,Febrero,apartamentos,"Balears, Illes",,6.91,
2015,Marzo,apartamentos,"Balears, Illes",,7.06,
2015,Abril,apartamentos,"Balears, Illes",,6.26,
2015,Mayo,apartamentos,"Balears, Illes",,6.11,
2015,Junio,apartamentos,"Balears, Illes",,6.94,
2015,Julio,apartamentos,"Balears, Illes",,7.5,
2015,Agosto,apartamentos,"Balears, Illes",,7.78,
2015,Septiembre,apartamentos,"Balears, Illes",,7.5,
2015,Octubre,apartamentos,"Balears, Illes",,8.06,
2015,Noviembre,apartamentos,"Balears, Illes",,6.41,
2015,Diciembre,apartamentos,"Balears, Illes",,6.43,
2015,Enero,apartamentos,Barcelona,,6.42,
2015,Febrero,apartamentos,Barcelona,,5.76,
2015,Marzo,apartamentos,Barcelona,,5.48,
2015,Abril,apartamentos,Barcelona,,4.82,
2015,Mayo,apartamentos,Barcelona,,4.84,
2015,Junio,apartamentos,Barcelona,,5.18,
2015,Julio,apartamentos,Barcelona,,4.4,
2015,Agosto,apartamentos,Barcelona,,4.94,
2015,Septiembre,apartamentos,Barcelona,,5.28,
2015,Octubre,apartamentos,Barcelona,,5.18,
2015,Noviembre,apartamentos,Barcelona,,6.98,
2015,Diciembre,apartamentos,Barcelona,,7.12,
2015,Enero,apartamentos,Girona,,3.73,
2015,Febrero,apartamentos,Girona,,2.86,
2015,Marzo,apartamentos,Girona,,3.54,
2015,Abril,apartamentos,Girona,,4.07,
2015,Mayo,apartamentos,Girona,,4.95,
2015,Junio,apartamentos,Girona,,6.53,
2015,Julio,apartamentos,Girona,,8.21,
2015,Agosto,apartamentos,Girona,,8.7,
2015,Septiembre,apartamentos,Girona,,8.75,
2015,Octubre,apartamentos,Girona,,4.9,
2015,Noviembre,apartamentos,Girona,,3.99,
2015,Diciembre,apartamentos,Girona,,3.24,
2015,Enero,apartamentos,Madrid,,4.32,
2015,Febrero,apartamentos,Madrid,,4.41,
2015,Marzo,apartamentos,Madrid,,4.16,
2015,Abril,apartamentos,Madrid,,3.72,
2015,Mayo,apartamentos,Madrid,,3.79,
2015,Junio,apartamentos,Madrid,,3.88,
2015,Julio,apartamentos,Madrid,,3.74,
2015,Agosto,apartamentos,Madrid,,3.7,
2015,Septiembre,apartamentos,Madrid,,3.46,
2015,Octubre,apartamentos,Madrid,,3.25,
2015,Noviembre,apartamentos,Madrid,,3.67,
2015,Diciembre,apartamentos,Madrid,,3.74,
2015,Enero,apartamentos,Málaga,,5.94,
2015,Febrero,apartamentos,Málaga,,5.79,
2015,Marzo,apartamentos,Málaga,,6.13,
2015,Abril,apartamentos,Málaga,,5.85,
2015,Mayo,apartamentos,Málaga,,5.31,
2015,Junio,apartamentos,Málaga,,5.92,
2015,Julio,apartamentos,Málaga,,6.52,
2015,Agosto,apartamentos,Málaga,,6.58,
2015,Septiembre,apartamentos,Málaga,,6.33,
2015,Octubre,apartamentos,Málaga,,6.03,
2015,Noviembre,apartamentos,Málaga,,6.2,
2015,Diciembre,apartamentos,Málaga,,5.07,
2015,Enero,apartamentos,Sevilla,,3.03,
2015,Febrero,apartamentos,Sevilla,,2.77,
2015,Marzo,apartamentos,Sevilla,,2.82,
2015,Abril,apartamentos,Sevilla,,2.98,
2015,Mayo,apartamentos,Sevilla,,2.68,
2015,Junio,apartamentos,Sevilla,,2.75,
2015,Julio,apartamentos,Sevilla,,2.92,
2015,Agosto,apartamentos,Sevilla,,2.63,
2015,Septiembre,apartamentos,Sevilla,,2.76,
2015,Octubre,apartamentos,Sevilla,,2.76,
2015,Noviembre,apartamentos,Sevilla,,2.95,
2015,Diciembre,apartamentos,Sevilla,,2.86,
2015,Enero,apartamentos,Valencia/Valéncia,,4.63,
2015,Febrero,apartamentos,Valencia/Valéncia,,4.7,
